Category,Language,Version,FileName,DirectLink
"OFFICE","Arabic","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Arabic_MLF_X20-42423.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Arabic_MLF_X20-42423.ISO?"
"OFFICE","Arabic","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Arabic_MLF_X20-41321.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Arabic_MLF_X20-41321.ISO?"
"OFFICE","Bulgarian","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Bulgarian_MLF_X20-42425.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Bulgarian_MLF_X20-42425.ISO?"
"OFFICE","Bulgarian","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Bulgarian_MLF_X20-41322.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Bulgarian_MLF_X20-41322.ISO?"
"OFFICE","Chinese - Simplified","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_ChnSimp_MLF_X20-42426.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_ChnSimp_MLF_X20-42426.ISO?"
"OFFICE","Chinese - Simplified","x32","SW_DVD5_Office_Professional_Plus_2016_W32_ChnSimp_MLF_X20-41351.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_ChnSimp_MLF_X20-41351.ISO?"
"OFFICE","Chinese - Traditional","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_ChnTrad_MLF_X20-42427.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_ChnTrad_MLF_X20-42427.ISO?"
"OFFICE","Chinese - Traditional","x32","SW_DVD5_Office_Professional_Plus_2016_W32_ChnTrad_MLF_X20-41352.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_ChnTrad_MLF_X20-41352.ISO?"
"OFFICE","Croatian","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Croatian_MLF_X20-42428.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Croatian_MLF_X20-42428.ISO?"
"OFFICE","Croatian","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Croatian_MLF_X20-41323.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Croatian_MLF_X20-41323.ISO?"
"OFFICE","Czech","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Czech_MLF_X20-42429.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Czech_MLF_X20-42429.ISO?"
"OFFICE","Czech","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Czech_MLF_X20-41324.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Czech_MLF_X20-41324.ISO?"
"OFFICE","Danish","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Danish_MLF_X20-42430.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Danish_MLF_X20-42430.ISO?"
"OFFICE","Danish","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Danish_MLF_X20-41325.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Danish_MLF_X20-41325.ISO?"
"OFFICE","Dutch","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Dutch_MLF_X20-42431.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Dutch_MLF_X20-42431.ISO?"
"OFFICE","Dutch","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Dutch_MLF_X20-41326.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Dutch_MLF_X20-41326.ISO?"
"OFFICE","English","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_English_MLF_X20-42432.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_English_MLF_X20-42432.ISO?"
"OFFICE","English","x32","SW_DVD5_Office_Professional_Plus_2016_W32_English_MLF_X20-41353.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_English_MLF_X20-41353.ISO?"
"OFFICE","Estonian","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Estonian_MLF_X20-42433.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Estonian_MLF_X20-42433.ISO?"
"OFFICE","Estonian","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Estonian_MLF_X20-41327.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Estonian_MLF_X20-41327.ISO?"
"OFFICE","Finnish","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Finnish_MLF_X20-42434.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Finnish_MLF_X20-42434.ISO?"
"OFFICE","Finnish","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Finnish_MLF_X20-41328.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Finnish_MLF_X20-41328.ISO?"
"OFFICE","French","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_French_MLF_X20-42435.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_French_MLF_X20-42435.ISO?"
"OFFICE","French","x32","SW_DVD5_Office_Professional_Plus_2016_W32_French_MLF_X20-41354.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_French_MLF_X20-41354.ISO?"
"OFFICE","German","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_German_MLF_X20-42436.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_German_MLF_X20-42436.ISO?"
"OFFICE","German","x32","SW_DVD5_Office_Professional_Plus_2016_W32_German_MLF_X20-41355.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_German_MLF_X20-41355.ISO?"
"OFFICE","Greek","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Greek_MLF_X20-42437.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Greek_MLF_X20-42437.ISO?"
"OFFICE","Greek","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Greek_MLF_X20-41329.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Greek_MLF_X20-41329.ISO?"
"OFFICE","Hebrew","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Hebrew_MLF_X20-42438.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Hebrew_MLF_X20-42438.ISO?"
"OFFICE","Hebrew","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Hebrew_MLF_X20-41330.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Hebrew_MLF_X20-41330.ISO?"
"OFFICE","Hindi","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Indic_MLF_X20-42440.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Indic_MLF_X20-42440.ISO?"
"OFFICE","Hindi","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Indic_MLF_X20-41332.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Indic_MLF_X20-41332.ISO?"
"OFFICE","Hungarian","x64","SW_DVD5_Office_Professional_Plus_2016_64Bit_Hungarian_MLF_X20-42439.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_64Bit_Hungarian_MLF_X20-42439.ISO?"
"OFFICE","Hungarian","x32","SW_DVD5_Office_Professional_Plus_2016_W32_Hungarian_MLF_X20-41331.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2016_W32_Hungarian_MLF_X20-41331.ISO?"
